age,gender,height_cm,weight_kg,sit and bend forward_cm,sit-ups counts,broad jump_cm
51.0,1,150.1,42.3,15.8,12.0,120.0
58.0,1,168.6,92.9,-16.0,0.0,73.0
22.0,1,166.1,41.6,13.3,25.0,146.0
29.0,1,167.8,61.1,16.6,35.0,155.0
29.0,0,171.6,84.5,6.2,51.0,232.0
23.0,0,179.0,71.5,14.3,52.0,218.0
22.0,1,162.4,67.8,27.3,50.0,186.0
25.0,0,174.0,77.6,18.6,59.0,211.0
21.0,0,165.0,65.9,25.0,33.0,210.0
26.0,0,180.0,71.3,9.2,49.0,248.0
43.0,0,179.7,65.3,8.8,40.0,186.0
64.0,1,145.5,54.38,3.6,15.0,81.0
44.0,0,181.9,78.6,2.4,28.0,172.0
57.0,1,156.7,61.1,15.1,24.0,105.0
22.0,0,168.4,69.9,16.3,61.0,234.0
33.0,0,171.1,68.7,11.6,47.0,217.0
55.0,0,164.3,62.5,10.7,28.0,166.0
51.0,1,153.2,48.6,25.7,28.0,178.0
56.0,1,154.0,61.9,17.2,14.0,145.0
45.0,0,169.6,70.1,23.7,50.0,214.0
50.0,1,161.1,57.3,18.8,8.0,136.0
23.0,0,175.6,83.3,17.5,62.0,230.0
22.0,1,176.2,68.8,19.3,48.0,172.0
56.0,0,167.4,72.2,19.9,44.0,217.0
27.0,0,171.1,78.0,17.3,53.0,214.0
21.0,0,181.0,71.8,14.6,60.0,220.0
21.0,1,157.3,57.9,19.9,42.0,199.0
44.0,1,164.5,63.6,19.9,38.0,138.0
21.0,1,156.4,58.1,17.8,47.0,177.0
40.0,1,161.4,45.8,16.0,32.0,165.0
61.0,0,178.5,74.6,15.2,43.0,155.0
25.0,0,174.8,68.5,21.2,60.0,228.0
52.0,0,171.4,67.1,5.4,39.0,200.0
32.0,0,177.3,77.5,22.3,58.0,252.0
27.0,0,170.4,64.8,17.0,55.0,205.0
64.0,0,166.2,64.5,5.0,31.0,188.0
61.0,1,151.5,58.3,10.8,3.0,115.0
45.0,0,170.5,88.1,21.1,36.0,212.0
33.0,1,162.5,55.2,14.2,34.0,104.0
55.0,1,146.3,49.9,22.7,23.0,114.0
60.0,1,150.9,65.1,12.0,4.0,114.0
38.0,0,183.6,83.7,17.0,52.0,226.0
25.0,0,171.7,87.5,18.5,58.0,209.0
51.0,1,156.6,55.56,11.8,23.0,150.0
29.0,0,176.1,78.5,5.4,63.0,238.0
58.0,0,169.1,73.9,11.8,25.0,144.0
58.0,1,150.3,66.3,12.8,18.0,140.0
41.0,0,178.0,84.2,23.4,35.0,255.0
62.0,0,181.3,93.4,16.2,23.0,133.0
56.0,0,170.1,61.5,20.5,40.0,195.0
61.0,0,174.5,81.0,10.2,42.0,168.0
43.0,0,172.5,90.5,18.7,40.0,216.0
62.0,1,148.8,57.9,15.5,19.0,118.0
43.0,0,167.4,74.4,0.3,34.0,182.0
21.0,0,167.4,74.9,21.6,63.0,252.0
44.0,0,169.4,73.8,6.7,23.0,196.0
34.0,0,176.7,73.1,0.4,38.0,230.0
24.0,0,182.0,85.8,-11.9,52.0,212.0
29.0,0,167.7,67.8,11.6,55.0,174.0
23.0,0,180.0,84.0,11.8,50.0,211.0
31.0,0,179.5,78.7,18.3,47.0,214.0
21.0,1,152.5,47.0,1.3,9.0,139.0
27.0,0,170.0,69.7,13.0,53.0,192.0
25.0,1,162.6,63.0,21.6,38.0,164.0
29.0,0,177.0,88.3,16.3,44.0,194.0
21.0,1,165.7,51.94,19.7,42.0,196.0
27.0,0,179.6,80.9,15.0,63.0,229.0
49.0,0,175.9,83.8,3.0,43.0,225.0
22.0,1,157.8,57.9,25.6,47.0,203.0
37.0,0,175.0,63.7,9.1,41.0,220.0
23.0,1,168.8,59.3,24.2,39.0,216.0
28.0,1,166.1,65.6,11.4,46.0,165.0
28.0,0,182.2,83.1,17.6,54.0,239.0
21.0,1,166.9,85.0,14.2,32.0,156.0
24.0,0,178.5,70.0,17.2,59.0,223.0
58.0,1,155.7,54.6,17.7,25.0,131.0
42.0,1,162.7,69.1,21.0,16.0,136.0
37.0,0,167.6,75.6,13.5,49.0,215.0
41.0,0,174.7,72.6,18.5,40.0,201.0
29.0,0,172.6,66.2,20.8,49.0,254.0
64.0,0,169.9,83.02,5.6,22.0,147.0
57.0,1,161.0,65.4,9.5,18.0,144.0
31.0,0,175.0,79.4,27.4,47.0,251.0
22.0,1,163.8,61.7,17.0,25.0,176.0
54.0,1,163.6,61.0,13.1,19.0,116.0
35.0,1,152.5,47.1,12.8,31.0,140.0
57.0,0,161.9,61.58,12.3,39.0,186.0
60.0,0,173.6,74.6,24.6,25.0,174.0
40.0,0,174.2,77.6,12.1,48.0,213.0
31.0,0,170.6,68.3,13.0,14.0,202.0
49.0,1,162.2,56.0,18.2,30.0,180.0
60.0,1,155.6,55.4,14.5,0.0,116.0
48.0,0,169.3,67.8,5.9,33.0,172.0
58.0,1,151.0,60.0,20.0,6.0,47.0
39.0,0,170.0,70.1,10.6,36.0,201.0
24.0,0,170.7,69.4,15.6,52.0,230.0
39.0,1,154.1,48.2,11.1,25.0,144.0
37.0,0,171.1,72.0,20.6,47.0,220.0
50.0,1,163.7,58.2,28.1,42.0,158.0
21.0,1,156.5,53.8,28.8,47.0,172.0
28.0,0,179.5,73.3,4.5,43.0,225.0
51.0,1,161.9,61.7,21.1,12.0,139.0
24.0,0,164.3,58.3,1.1,41.0,183.0
26.0,1,170.5,63.0,17.6,47.0,165.0
24.0,1,169.1,50.4,33.3,26.0,182.0
54.0,1,155.6,62.3,18.5,5.0,113.0
62.0,0,168.7,62.6,19.3,25.0,170.0
41.0,0,175.9,89.9,13.1,44.0,208.0
34.0,0,170.8,84.4,-1.1,30.0,206.0
63.0,1,159.1,64.0,22.0,0.0,117.0
32.0,0,179.8,85.1,22.6,45.0,235.0
26.0,0,158.8,56.8,15.1,55.0,225.0
46.0,0,173.4,72.7,20.0,59.0,219.0
39.0,1,159.6,65.7,3.1,28.0,172.0
25.0,0,174.9,72.1,26.2,53.0,226.0
28.0,0,183.0,70.88,17.9,40.0,216.0
31.0,1,160.7,54.3,25.5,33.0,157.0
35.0,0,176.6,70.1,14.2,54.0,262.0
46.0,0,170.7,80.0,14.3,39.0,218.0
56.0,1,153.3,51.6,21.2,29.0,158.0
51.0,1,160.4,60.7,16.4,4.0,123.0
22.0,0,179.6,70.0,16.7,51.0,248.0
21.0,1,160.0,52.8,9.6,30.0,125.0
37.0,1,148.7,38.1,19.6,31.0,165.0
48.0,1,161.3,77.4,7.5,30.0,160.0
62.0,0,180.9,74.2,-2.3,22.0,183.0
37.0,0,172.0,73.1,14.3,38.0,242.0
44.0,1,160.0,62.4,12.6,40.0,161.0
49.0,1,160.8,72.42,17.4,18.0,120.0
56.0,0,173.0,52.6,-13.2,31.0,198.0
60.0,0,171.8,74.7,17.6,36.0,210.0
55.0,0,166.0,73.9,15.3,26.0,170.0
22.0,1,163.4,75.0,16.0,39.0,172.0
37.0,1,160.7,49.4,24.4,40.0,161.0
49.0,0,166.4,66.6,21.3,53.0,215.0
23.0,1,162.6,64.3,13.2,35.0,142.0
56.0,1,149.0,46.7,28.0,41.0,186.0
52.0,1,159.3,54.4,22.8,22.0,156.0
23.0,0,172.9,76.7,20.1,61.0,234.0
25.0,0,178.0,82.6,14.6,54.0,228.0
28.0,0,177.5,74.7,25.2,70.0,242.0
52.0,1,169.0,73.9,12.5,5.0,128.0
26.0,0,178.7,64.7,3.0,30.0,132.0
45.0,0,168.1,62.24,20.1,53.0,211.0
48.0,0,173.6,72.3,20.4,56.0,240.0
61.0,0,163.0,67.2,8.5,5.0,98.0
25.0,0,171.4,65.7,15.7,62.0,256.0
61.0,0,160.7,67.5,13.7,37.0,187.0
32.0,1,154.4,55.8,23.2,35.0,163.0
59.0,1,160.0,58.7,27.3,25.0,127.0
60.0,0,173.0,76.5,19.6,38.0,200.0
21.0,0,173.2,89.2,4.4,50.0,208.0
33.0,1,159.6,60.5,22.2,24.0,129.0
64.0,0,163.3,62.3,11.5,20.0,179.0
29.0,0,173.7,72.6,17.6,53.0,227.0
35.0,0,168.9,63.6,18.2,54.0,227.0
62.0,1,159.5,54.0,28.1,27.0,161.0
43.0,0,177.3,79.7,20.0,53.0,199.0
34.0,0,179.4,72.4,21.4,53.0,211.0
21.0,0,173.3,74.9,0.9,50.0,212.0
23.0,0,173.0,63.7,21.3,44.0,245.0
36.0,0,188.3,97.8,5.1,33.0,246.0
48.0,1,160.3,52.3,23.6,47.0,178.0
54.0,0,177.4,88.3,3.5,44.0,205.0
39.0,0,186.9,82.3,-4.2,37.0,212.0
26.0,0,177.2,70.1,5.7,51.0,226.0
44.0,0,170.1,64.3,14.4,29.0,221.0
24.0,0,178.6,88.2,12.8,62.0,242.0
25.0,0,168.6,70.7,11.4,64.0,219.0
32.0,0,173.5,61.2,22.5,54.0,222.0
26.0,1,168.5,57.58,22.1,37.0,159.0
30.0,1,162.7,51.1,21.2,33.0,181.0
21.0,0,184.8,79.8,6.6,50.0,257.0
29.0,1,162.0,56.62,14.0,32.0,157.0
28.0,0,179.8,86.9,13.8,58.0,244.0
55.0,1,160.2,54.0,23.3,20.0,149.0
29.0,0,176.2,71.1,6.0,61.0,207.0
28.0,1,162.1,45.48,13.8,41.0,178.0
38.0,1,157.4,52.1,21.5,44.0,197.0
41.0,0,177.4,79.2,4.2,49.0,218.0
40.0,1,153.8,50.8,18.2,29.0,156.0
38.0,0,177.0,69.7,13.6,45.0,210.0
29.0,0,175.0,66.8,19.4,45.0,211.0
28.0,0,170.1,69.9,5.8,58.0,214.0
23.0,0,175.1,69.9,10.4,58.0,227.0
61.0,1,155.5,53.8,23.4,28.0,136.0
25.0,0,172.1,67.3,5.5,47.0,207.0
23.0,0,177.3,71.7,18.7,59.0,245.0
31.0,1,160.0,48.8,23.9,20.0,150.0
49.0,0,171.7,63.3,14.8,56.0,223.0
23.0,0,170.7,70.4,11.2,53.0,225.0
21.0,0,183.2,76.4,17.7,57.0,260.0
35.0,0,168.1,67.1,14.5,44.0,228.0
25.0,0,173.0,69.6,7.3,44.0,188.0
51.0,0,172.4,75.6,22.4,55.0,211.0
26.0,1,167.6,52.3,19.9,37.0,154.0
26.0,0,182.0,81.7,16.9,68.0,260.0
21.0,0,179.1,60.1,24.6,51.0,275.0
25.0,0,173.0,69.5,12.5,38.0,180.0
61.0,1,147.9,64.7,11.6,4.0,130.0
25.0,0,172.0,73.5,15.5,46.0,220.0
25.0,0,172.6,71.3,12.0,55.0,259.0
23.0,1,172.8,62.4,14.8,40.0,193.0
31.0,1,165.0,57.3,18.0,0.0,123.0
31.0,0,174.0,86.8,18.6,66.0,216.0
49.0,0,172.8,65.2,13.9,44.0,181.0
29.0,0,178.7,73.2,9.0,32.0,223.0
33.0,0,169.1,67.9,17.0,53.0,214.0
35.0,0,183.1,70.8,16.7,44.0,235.0
43.0,0,169.7,64.7,10.9,38.0,206.0
48.0,0,173.4,68.7,17.0,46.0,208.0
41.0,1,160.5,67.9,20.0,7.0,164.0
61.0,1,152.4,59.1,20.8,23.0,122.0
25.0,0,172.8,71.9,16.1,51.0,220.0
28.0,0,175.4,69.9,23.8,58.0,230.0
60.0,0,174.3,72.6,7.5,38.0,167.0
53.0,0,164.9,60.3,18.4,35.0,194.0
21.0,0,177.2,64.5,10.9,54.0,237.0
28.0,0,180.1,65.1,11.5,45.0,236.0
55.0,1,153.0,51.6,14.0,24.0,130.0
60.0,0,171.8,68.3,16.5,35.0,183.0
24.0,0,182.8,76.8,12.8,47.0,225.0
25.0,0,182.5,71.1,18.6,42.0,224.0
30.0,0,176.2,76.1,11.5,60.0,201.0
30.0,1,167.0,52.1,-1.4,39.0,140.0
58.0,0,166.2,61.2,13.3,27.0,198.0
63.0,1,155.3,64.8,14.0,12.0,73.0
51.0,1,151.6,47.0,19.6,21.0,135.0
34.0,0,167.4,68.9,8.4,53.0,231.0
64.0,0,174.9,73.2,20.0,36.0,211.0
41.0,1,153.6,46.7,11.0,20.0,155.0
33.0,0,180.3,80.6,-12.5,31.0,213.0
21.0,1,159.9,49.7,24.3,11.0,145.0
21.0,0,183.1,77.2,-0.6,56.0,221.0
33.0,0,174.9,77.2,12.3,42.0,234.0
25.0,0,187.5,78.6,17.1,40.0,234.0
28.0,0,171.8,68.3,18.4,54.0,229.0
35.0,0,181.2,77.5,9.1,49.0,203.0
54.0,1,159.1,64.22,19.8,5.0,133.0
25.0,0,175.3,60.6,17.5,50.0,225.0
26.0,0,178.3,73.16,16.6,58.0,232.0
21.0,0,177.7,63.6,3.5,44.0,247.0
21.0,0,173.6,74.7,24.5,48.0,199.0
43.0,1,164.2,55.2,20.0,53.0,193.0
22.0,1,164.4,52.4,21.7,35.0,148.0
21.0,0,168.3,60.5,18.7,62.0,226.0
26.0,0,171.8,69.7,16.2,49.0,228.0
22.0,1,164.7,49.8,22.7,37.0,164.0
30.0,0,184.0,84.6,19.5,48.0,245.0
62.0,0,163.3,59.84,23.2,36.0,201.0
56.0,0,168.0,67.3,3.3,31.0,169.0
33.0,0,177.5,68.0,12.1,52.0,195.0
44.0,0,173.1,78.5,11.3,47.0,216.0
30.0,1,158.3,51.5,26.0,53.0,156.0
62.0,0,174.3,74.1,13.1,54.0,199.0
22.0,0,185.8,94.1,9.4,50.0,190.0
41.0,0,170.6,72.1,0.8,28.0,223.0
43.0,0,185.2,91.7,10.5,49.0,221.0
22.0,0,181.9,78.0,16.4,60.0,262.0
21.0,1,164.4,48.1,29.4,41.0,215.0
56.0,1,160.8,48.4,20.9,14.0,137.0
24.0,1,157.1,60.5,12.8,35.0,148.0
40.0,0,167.8,69.8,26.6,56.0,210.0
46.0,1,159.7,52.8,16.9,21.0,152.0
34.0,0,178.8,82.3,6.9,58.0,241.0
41.0,0,181.3,79.2,15.5,47.0,253.0
58.0,1,151.9,54.8,5.9,15.0,103.0
25.0,1,166.3,53.6,21.1,54.0,189.0
21.0,1,165.3,51.8,18.5,37.0,165.0
31.0,0,168.4,63.38,17.5,51.0,227.0
42.0,1,158.0,93.1,-2.8,17.0,145.0
36.0,0,178.6,81.4,18.0,47.0,219.0
21.0,0,184.0,76.1,13.4,52.0,239.0
51.0,0,167.4,56.4,9.2,46.0,212.0
27.0,0,179.3,74.5,22.6,55.0,240.0
37.0,0,172.1,72.5,16.8,31.0,194.0
22.0,0,170.0,67.4,13.2,60.0,220.0
38.0,0,166.5,59.0,13.8,39.0,213.0
47.0,0,167.7,67.6,19.4,61.0,220.0
44.0,0,170.8,73.5,11.6,35.0,204.0
24.0,0,175.1,81.8,9.5,39.0,192.0
21.0,1,164.3,52.1,25.0,44.0,182.0
38.0,0,169.0,72.9,8.8,50.0,226.0
33.0,1,157.2,50.8,18.8,38.0,141.0
22.0,0,168.0,55.1,27.4,60.0,230.0
23.0,0,175.1,67.1,12.6,53.0,252.0
41.0,1,170.4,63.8,25.8,41.0,168.0
43.0,0,174.0,64.8,15.1,62.0,235.0
27.0,1,161.0,51.9,22.3,35.0,169.0
24.0,0,176.4,80.9,9.5,52.0,247.0
26.0,0,173.4,81.4,-4.5,23.0,178.0
28.0,1,160.6,54.2,23.3,60.0,195.0
29.0,0,170.7,85.3,2.2,33.0,198.0
53.0,0,172.3,71.6,9.3,47.0,203.0
21.0,0,183.3,76.5,16.3,59.0,227.0
52.0,0,170.6,69.5,12.3,30.0,170.0
28.0,0,171.4,72.2,15.0,62.0,260.0
60.0,1,156.5,55.1,27.3,20.0,124.0
26.0,0,171.6,67.7,1.2,49.0,208.0
26.0,0,168.0,64.4,18.5,53.0,244.0
23.0,1,158.0,47.44,25.4,45.0,168.0
40.0,0,174.8,79.1,19.2,50.0,239.0
24.0,1,166.9,56.1,-6.2,22.0,156.0
39.0,1,158.5,53.6,25.9,31.0,171.0
24.0,0,175.9,75.4,1.4,54.0,222.0
42.0,1,163.2,54.3,24.2,35.0,164.0
30.0,0,174.8,75.2,16.3,65.0,249.0
28.0,0,172.5,69.2,11.4,43.0,186.0
32.0,1,157.4,50.4,26.8,41.0,166.0
42.0,1,158.1,62.1,20.1,32.0,146.0
62.0,1,159.2,50.8,24.2,22.0,147.0
